# DerivedGeneralCategory-3.2.0.txt
# Date: 2002-03-19,23:30:49 GMT [MD]
#
# Unicode Character Database: Derived Property Data
# Generated algorithmically from the Unicode Character Database
# For documentation, see DerivedProperties.html
# Note: Unassigned and Noncharacter codepoints are omitted,
#       except when listing Noncharacter or Cn.
# ================================================


# ================================================
# General Category (listing UnicodeData.txt, field 2: see UnicodeData.html)
# ================================================

0221          ; Cn #       
0CBA..0CBD    ; Cn #   [4] 
0CC5          ; Cn #       
0CC9          ; Cn #       
0CCE..0CD4    ; Cn #   [7] 
0CD7..0CDD    ; Cn #   [7] 
0CDF          ; Cn #       
0CE2..0CE5    ; Cn #   [4] 
0CF0..0D01    ; Cn #  [18] 
0D04          ; Cn #       
0D0D          ; Cn #       
0D11          ; Cn #       
0D29          ; Cn #       
0D3A..0D3D    ; Cn #   [4] 
0D44..0D45    ; Cn #   [2] 
0D49          ; Cn #       
0D4E..0D56    ; Cn #   [9] 
0D58..0D5F    ; Cn #   [8] 
0D62..0D65    ; Cn #   [4] 
0D70..0D81    ; Cn #  [18] 
0D84          ; Cn #       
0D97..0D99    ; Cn #   [3] 
0DB2          ; Cn #       
0DBC          ; Cn #       
0DBE..0DBF    ; Cn #   [2] 
0DC7..0DC9    ; Cn #   [3] 
0DCB..0DCE    ; Cn #   [4] 
0DD5          ; Cn #       
0DD7          ; Cn #       
0DE0..0DF1    ; Cn #  [18] 
0DF5..0E00    ; Cn #  [12] 
0E3B..0E3E    ; Cn #   [4] 
0E5C..0E80    ; Cn #  [37] 
0E83          ; Cn #       
0E85..0E86    ; Cn #   [2] 
0E89          ; Cn #       
0E8B..0E8C    ; Cn #   [2] 
0E8E..0E93    ; Cn #   [6] 
0E98          ; Cn #       
0EA0          ; Cn #       
0EA4          ; Cn #       
0EA6          ; Cn #       
0EA8..0EA9    ; Cn #   [2] 
0EAC          ; Cn #       
0EBA          ; Cn #       
0EBE..0EBF    ; Cn #   [2] 
0EC5          ; Cn #       
0EC7          ; Cn #       
0ECE..0ECF    ; Cn #   [2] 
0EDA..0EDB    ; Cn #   [2] 
0EDE..0EFF    ; Cn #  [34] 
0F48          ; Cn #       
0F6B..0F70    ; Cn #   [6] 
0F8C..0F8F    ; Cn #   [4] 
0F98          ; Cn #       
0FBD          ; Cn #       
0FCD..0FCE    ; Cn #   [2] 
0FD0..0FFF    ; Cn #  [48] 
1022          ; Cn #       
1028          ; Cn #       
102B          ; Cn #       
1033..1035    ; Cn #   [3] 
103A..103F    ; Cn #   [6] 
105A..109F    ; Cn #  [70] 
10C6..10CF    ; Cn #  [10] 
10F9..10FA    ; Cn #   [2] 
10FC..10FF    ; Cn #   [4] 
115A..115E    ; Cn #   [5] 
11A3..11A7    ; Cn #   [5] 
11FA..11FF    ; Cn #   [6] 
1207          ; Cn #       
1247          ; Cn #       
1249          ; Cn #       
124E..124F    ; Cn #   [2] 
1257          ; Cn #       
1259          ; Cn #       
125E..125F    ; Cn #   [2] 
1287          ; Cn #       
1289          ; Cn #       
128E..128F    ; Cn #   [2] 
12AF          ; Cn #       
12B1          ; Cn #       
12B6..12B7    ; Cn #   [2] 
12BF          ; Cn #       
12C1          ; Cn #       
12C6..12C7    ; Cn #   [2] 
12CF          ; Cn #       
12D7          ; Cn #       
12EF          ; Cn #       
130F          ; Cn #       
1311          ; Cn #       
1316..1317    ; Cn #   [2] 
131F          ; Cn #       
1347          ; Cn #       
135B..1360    ; Cn #   [6] 
137D..139F    ; Cn #  [35] 
13F5..1400    ; Cn #  [12] 
1677..167F    ; Cn #   [9] 
169D..169F    ; Cn #   [3] 
16F1..16FF    ; Cn #  [15] 
170D          ; Cn #       
1715..171F    ; Cn #  [11] 
1737..173F    ; Cn #   [9] 
1754..175F    ; Cn #  [12] 
176D          ; Cn #       
1771          ; Cn #       
1774..177F    ; Cn #  [12] 
17DD..17DF    ; Cn #   [3] 
17EA..17FF    ; Cn #  [22] 
180F          ; Cn #       
181A..181F    ; Cn #   [6] 
1878..187F    ; Cn #   [8] 
18AA..1DFF    ; Cn # [1366] 
1E9C..1E9F    ; Cn #   [4] 
1EFA..1EFF    ; Cn #   [6] 
1F16..1F17    ; Cn #   [2] 
1F1E..1F1F    ; Cn #   [2] 
1F46..1F47    ; Cn #   [2] 
1F4E..1F4F    ; Cn #   [2] 
1F58          ; Cn #       
1F5A          ; Cn #       
1F5C          ; Cn #       
1F5E          ; Cn #       
1F7E..1F7F    ; Cn #   [2] 
1FB5          ; Cn #       
1FC5          ; Cn #       
1FD4..1FD5    ; Cn #   [2] 
1FDC          ; Cn #       
1FF0..1FF1    ; Cn #   [2] 
1FF5          ; Cn #       
1FFF          ; Cn #       
2053..2056    ; Cn #   [4] 
2058..205E    ; Cn #   [7] 
2064..2069    ; Cn #   [6] 
2072..2073    ; Cn #   [2] 
208F..209F    ; Cn #  [17] 
20B2..20CF    ; Cn #  [30] 
20EB..20FF    ; Cn #  [21] 
213B..213C    ; Cn #   [2] 
214C..2152    ; Cn #   [7] 
2184..218F    ; Cn #  [12] 
23CF..23FF    ; Cn #  [49] 
2427..243F    ; Cn #  [25] 
244B..245F    ; Cn #  [21] 
24FF          ; Cn #       
2614..2615    ; Cn #   [2] 
2618          ; Cn #       
267E..267F    ; Cn #   [2] 
268A..2700    ; Cn # [119] 
2705          ; Cn #       
270A..270B    ; Cn #   [2] 
2728          ; Cn #       
274C          ; Cn #       
274E          ; Cn #       
2753..2755    ; Cn #   [3] 
2757          ; Cn #       
275F..2760    ; Cn #   [2] 
2795..2797    ; Cn #   [3] 
27B0          ; Cn #       
27BF..27CF    ; Cn #  [17] 
27EC..27EF    ; Cn #   [4] 
2B00..2E7F    ; Cn # [896] 
2E9A          ; Cn #       
2EF4..2EFF    ; Cn #  [12] 
2FD6..2FEF    ; Cn #  [26] 
2FFC..2FFF    ; Cn #   [4] 
3040          ; Cn #       
3097..3098    ; Cn #   [2] 
3100..3104    ; Cn #   [5] 
312D..3130    ; Cn #   [4] 
318F          ; Cn #       
31B8..31EF    ; Cn #  [56] 
321D..321F    ; Cn #   [3] 
3244..3250    ; Cn #  [13] 
327C..327E    ; Cn #   [3] 
32CC..32CF    ; Cn #   [4] 
32FF          ; Cn #       
3377..337A    ; Cn #   [4] 
33DE..33DF    ; Cn #   [2] 
33FF          ; Cn #       
4DB6..4DFF    ; Cn #  [74] 
9FA6..9FFF    ; Cn #  [90] 
A48D..A48F    ; Cn #   [3] 
A4C7..ABFF    ; Cn # [1849] 
D7A4..D7FF    ; Cn #  [92] 
FA2E..FA2F    ; Cn #   [2] 
FA6B..FAFF    ; Cn # [149] 
FB07..FB12    ; Cn #  [12] 
FB18..FB1C    ; Cn #   [5] 
FB37          ; Cn #       
FB3D          ; Cn #       
FB3F          ; Cn #       
FB42          ; Cn #       
FB45          ; Cn #       
FBB2..FBD2    ; Cn #  [33] 
FD40..FD4F    ; Cn #  [16] 
FD90..FD91    ; Cn #   [2] 
FDC8..FDCF    ; Cn #   [8] 
FDD0..FDEF    ; Cn #  [32] 
FDFD..FDFF    ; Cn #   [3] 
FE10..FE1F    ; Cn #  [16] 
FE24..FE2F    ; Cn #  [12] 
FE47..FE48    ; Cn #   [2] 
FE53          ; Cn #       
FE67          ; Cn #       
FE6C..FE6F    ; Cn #   [4] 
FE75          ; Cn #       
FEFD..FEFE    ; Cn #   [2] 
FF00          ; Cn #       
FFBF..FFC1    ; Cn #   [3] 
FFC8..FFC9    ; Cn #   [2] 
FFD0..FFD1    ; Cn #   [2] 
FFD8..FFD9    ; Cn #   [2] 
FFDD..FFDF    ; Cn #   [3] 
FFE7          ; Cn #       
FFEF..FFF8    ; Cn #  [10] 
FFFE..FFFF    ; Cn #   [2] 
10000..102FF  ; Cn # [768] 
1031F         ; Cn #       
10324..1032F  ; Cn #  [12] 
1034B..103FF  ; Cn # [181] 
10426..10427  ; Cn #   [2] 
1044E..1CFFF  ; Cn # [52146] 
1D0F6..1D0FF  ; Cn #  [10] 
1D127..1D129  ; Cn #   [3] 
1D1DE..1D3FF  ; Cn # [546] 
1D455         ; Cn #       
1D49D         ; Cn #       
1D4A0..1D4A1  ; Cn #   [2] 
1D4A3..1D4A4  ; Cn #   [2] 
1D4A7..1D4A8  ; Cn #   [2] 
1D4AD         ; Cn #       
1D4BA         ; Cn #       
1D4BC         ; Cn #       
1D4C1         ; Cn #       
1D4C4         ; Cn #       
1D506         ; Cn #       
1D50B..1D50C  ; Cn #   [2] 
1D515         ; Cn #       
1D51D         ; Cn #       
1D53A         ; Cn #       
1D53F         ; Cn #       
1D545         ; Cn #       
1D547..1D549  ; Cn #   [3] 
1D551         ; Cn #       
1D6A4..1D6A7  ; Cn #   [4] 
1D7CA..1D7CD  ; Cn #   [4] 
1D800..1FFFD  ; Cn # [10238] 
1FFFE..1FFFF  ; Cn #   [2] 
2A6D7..2F7FF  ; Cn # [20777] 
2FA1E..2FFFD  ; Cn # [1504] 
2FFFE..2FFFF  ; Cn #   [2] 
30000..3FFFD  ; Cn # [65534] 
3FFFE..3FFFF  ; Cn #   [2] 
40000..4FFFD  ; Cn # [65534] 
4FFFE..4FFFF  ; Cn #   [2] 
50000..5FFFD  ; Cn # [65534] 
5FFFE..5FFFF  ; Cn #   [2] 
60000..6FFFD  ; Cn # [65534] 
6FFFE..6FFFF  ; Cn #   [2] 
70000..7FFFD  ; Cn # [65534] 
7FFFE..7FFFF  ; Cn #   [2] 
80000..8FFFD  ; Cn # [65534] 
8FFFE..8FFFF  ; Cn #   [2] 
90000..9FFFD  ; Cn # [65534] 
9FFFE..9FFFF  ; Cn #   [2] 
A0000..AFFFD  ; Cn # [65534] 
AFFFE..AFFFF  ; Cn #   [2] 
B0000..BFFFD  ; Cn # [65534] 
BFFFE..BFFFF  ; Cn #   [2] 
C0000..CFFFD  ; Cn # [65534] 
CFFFE..CFFFF  ; Cn #   [2] 
D0000..DFFFD  ; Cn # [65534] 
DFFFE..DFFFF  ; Cn #   [2] 
E0000         ; Cn #       
E0002..E001F  ; Cn #  [30] 
E0080..EFFFD  ; Cn # [65406] 
EFFFE..EFFFF  ; Cn #   [2] 
FFFFE..FFFFF  ; Cn #   [2] 
10FFFE..10FFFF; Cn #   [2] 

# Total code points: 879375

# ================================================

0041..005A    ; Lu #  [26] LATIN CAPITAL LETTER A..LATIN CAPITAL LETTER Z
00C0..00D6    ; Lu #  [23] LATIN CAPITAL LETTER A WITH GRAVE..LATIN CAPITAL LETTER O WITH DIAERESIS
00D8..00DE    ; Lu #   [7] LATIN CAPITAL LETTER O WITH STROKE..LATIN CAPITAL LETTER THORN
0100          ; Lu #       LATIN CAPITAL LETTER A WITH MACRON
0102          ; Lu #       LATIN CAPITAL LETTER A WITH BREVE
0104          ; Lu #       LATIN CAPITAL LETTER A WITH OGONEK
0106          ; Lu #       LATIN CAPITAL LETTER C WITH ACUTE
0108          ; Lu #       LATIN CAPITAL LETTER C WITH CIRCUMFLEX
010A          ; Lu #       LATIN CAPITAL LETTER C WITH DOT ABOVE
010C          ; Lu #       LATIN CAPITAL LETTER C WITH CARON
010E          ; Lu #       LATIN CAPITAL LETTER D WITH CARON
0110          ; Lu #       LATIN CAPITAL LETTER D WITH STROKE
0112          ; Lu #       LATIN CAPITAL LETTER E WITH MACRON
0114          ; Lu #       LATIN CAPITAL LETTER E WITH BREVE
0116          ; Lu #       LATIN CAPITAL LETTER E WITH DOT ABOVE
0118          ; Lu #       LATIN CAPITAL LETTER E WITH OGONEK
011A          ; Lu #       LATIN CAPITAL LETTER E WITH CARON
011C          ; Lu #       LATIN CAPITAL LETTER G WITH CIRCUMFLEX
011E          ; Lu #       LATIN CAPITAL LETTER G WITH BREVE
0120          ; Lu #       LATIN CAPITAL LETTER G WITH DOT ABOVE
0122          ; Lu #       LATIN CAPITAL LETTER G WITH CEDILLA
0124          ; Lu #       LATIN CAPITAL LETTER H WITH CIRCUMFLEX
0126          ; Lu #       LATIN CAPITAL LETTER H WITH STROKE
0128          ; Lu #       LATIN CAPITAL LETTER I WITH TILDE
012A          ; Lu #       LATIN CAPITAL LETTER I WITH MACRON
012C          ; Lu #       LATIN CAPITAL LETTER I WITH BREVE
012E          ; Lu #       LATIN CAPITAL LETTER I WITH OGONEK
0130          ; Lu #       LATIN CAPITAL LETTER I WITH DOT ABOVE
0132          ; Lu #       LATIN CAPITAL LIGATURE IJ
0134          ; Lu #       LATIN CAPITAL LETTER J WITH CIRCUMFLEX
0136          ; Lu #       LATIN CAPITAL LETTER K WITH CEDILLA
0139          ; Lu #       LATIN CAPITAL LETTER L WITH ACUTE
013B          ; Lu #       LATIN CAPITAL LETTER L WITH CEDILLA
013D          ; Lu #       LATIN CAPITAL LETTER L WITH CARON
013F          ; Lu #       LATIN CAPITAL LETTER L WITH MIDDLE DOT
0141          ; Lu #       LATIN CAPITAL LETTER L WITH STROKE
0143          ; Lu #       LATIN CAPITAL LETTER N WITH ACUTE
0145          ; Lu #       LATIN CAPITAL LETTER N WITH CEDILLA
0147          ; Lu #       LATIN CAPITAL LETTER N WITH CARON
014A          ; Lu #       LATIN CAPITAL LETTER ENG
014C          ; Lu #       LATIN CAPITAL LETTER O WITH MACRON
014E          ; Lu #       LATIN CAPITAL LETTER O WITH BREVE
0150          ; Lu #       LATIN CAPITAL LETTER O WITH DOUBLE ACUTE
0152          ; Lu #       LATIN CAPITAL LIGATURE OE
0154          ; Lu #       LATIN CAPITAL LETTER R WITH ACUTE
0156          ; Lu #       LATIN CAPITAL LETTER R WITH CEDILLA
0158          ; Lu #       LATIN CAPITAL LETTER R WITH CARON
015A          ; Lu #       LATIN CAPITAL LETTER S WITH ACUTE
015C          ; Lu #       LATIN CAPITAL LETTER S WITH CIRCUMFLEX
015E          ; Lu #       LATIN CAPITAL LETTER S WITH CEDILLA
0160          ; Lu #       LATIN CAPITAL LETTER S WITH CARON
0162          ; Lu #       LATIN CAPITAL LETTER T WITH CEDILLA
0164          ; Lu #       LATIN CAPITAL LETTER T WITH CARON
0166          ; Lu #       LATIN CAPITAL LETTER T WITH STROKE
0168          ; Lu #       LATIN CAPITAL LETTER U WITH TILDE
016A          ; Lu #       LATIN CAPITAL LETTER U WITH MACRON
016C          ; Lu #       LATIN CAPITAL LETTER U WITH BREVE
016E          ; Lu #       LATIN CAPITAL LETTER U WITH RING ABOVE
0170          ; Lu #       LATIN CAPITAL LETTER U WITH DOUBLE ACUTE
0172          ; Lu #       LATIN CAPITAL LETTER U WITH OGONEK
0174          ; Lu #       LATIN CAPITAL LETTER W WITH CIRCUMFLEX
0176          ; Lu #       LATIN CAPITAL LETTER Y WITH CIRCUMFLEX
0178..0179    ; Lu #   [2] LATIN CAPITAL LETTER Y WITH DIAERESIS..LATIN CAPITAL LETTER Z WITH ACUTE
017B          ; Lu #       LATIN CAPITAL LETTER Z WITH DOT ABOVE
017D          ; Lu #       LATIN CAPITAL LETTER Z WITH CARON
0181..0182    ; Lu #   [2] LATIN CAPITAL LETTER B WITH HOOK..LATIN CAPITAL LETTER B WITH TOPBAR
0184          ; Lu #       LATIN CAPITAL LETTER TONE SIX
0186..0187    ; Lu #   [2] LATIN CAPITAL LETTER OPEN O..LATIN CAPITAL LETTER C WITH HOOK
0189..018B    ; Lu #   [3] LATIN CAPITAL LETTER AFRICAN D..LATIN CAPITAL LETTER D WITH TOPBAR
018E..0191    ; Lu #   [4] LATIN CAPITAL LETTER REVERSED E..LATIN CAPITAL LETTER F WITH HOOK
0193..0194    ; Lu #   [2] LATIN CAPITAL LETTER G WITH HOOK..LATIN CAPITAL LETTER GAMMA
0196..0198    ; Lu #   [3] LATIN CAPITAL LETTER IOTA..LATIN CAPITAL LETTER K WITH HOOK
019C..019D    ; Lu #   [2] LATIN CAPITAL LETTER TURNED M..LATIN CAPITAL LETTER N WITH LEFT HOOK
019F..01A0    ; Lu #   [2] LATIN CAPITAL LETTER O WITH MIDDLE TILDE..LATIN CAPITAL LETTER O WITH HORN
01A2          ; Lu #       LATIN CAPITAL LETTER OI
01A4          ; Lu #       LATIN CAPITAL LETTER P WITH HOOK
01A6..01A7    ; Lu #   [2] LATIN LETTER YR..LATIN CAPITAL LETTER TONE TWO
01A9          ; Lu #       LATIN CAPITAL LETTER ESH
01AC          ; Lu #       LATIN CAPITAL LETTER T WITH HOOK
01AE..01AF    ; Lu #   [2] LATIN CAPITAL LETTER T WITH RETROFLEX HOOK..LATIN CAPITAL LETTER U WITH HORN
01B1..01B3    ; Lu #   [3] LATIN CAPITAL LETTER UPSILON..LATIN CAPITAL LETTER Y WITH HOOK
01B5          ; Lu #       LATIN CAPITAL LETTER Z WITH STROKE
01B7..01B8    ; Lu #   [2] LATIN CAPITAL LETTER EZH..LATIN CAPITAL LETTER EZH REVERSED
01BC          ; Lu #       LATIN CAPITAL LETTER TONE FIVE
01C4          ; Lu #       LATIN CAPITAL LETTER DZ WITH CARON
01C7          ; Lu #       LATIN CAPITAL LETTER LJ
01CA          ; Lu #       LATIN CAPITAL LETTER NJ
01CD          ; Lu #       LATIN CAPITAL LETTER A WITH CARON
01CF          ; Lu #       LATIN CAPITAL LETTER I WITH CARON
01D1          ; Lu #       LATIN CAPITAL LETTER O WITH CARON
01D3          ; Lu #       LATIN CAPITAL LETTER U WITH CARON
01D5          ; Lu #       LATIN CAPITAL LETTER U WITH DIAERESIS AND MACRON
01D7          ; Lu #       LATIN CAPITAL LETTER U WITH DIAERESIS AND ACUTE
01D9          ; Lu #       LATIN CAPITAL LETTER U WITH DIAERESIS AND CARON
01DB          ; Lu #       LATIN CAPITAL LETTER U WITH DIAERESIS AND GRAVE
01DE          ; Lu #       LATIN CAPITAL LETTER A WITH DIAERESIS AND MACRON
01E0          ; Lu #       LATIN CAPITAL LETTER A WITH DOT ABOVE AND MACRON
01E2          ; Lu #       LATIN CAPITAL LETTER AE WITH MACRON
01E4          ; Lu #       LATIN CAPITAL LETTER G WITH STROKE
01E6          ; Lu #       LATIN CAPITAL LETTER G WITH CARON
01E8          ; Lu #       LATIN CAPITAL LETTER K WITH CARON
01EA          ; Lu #       LATIN CAPITAL LETTER O WITH OGONEK
01EC          ; Lu #       LATIN CAPITAL LETTER O WITH OGONEK AND MACRON
01EE          ; Lu #       LATIN CAPITAL LETTER EZH WITH CARON
01F1          ; Lu #       LATIN CAPITAL LETTER DZ
01F4          ; Lu #       LATIN CAPITAL LETTER G WITH ACUTE
01F6..01F8    ; Lu #   [3] LATIN CAPITAL LETTER HWAIR..LATIN CAPITAL LETTER N WITH GRAVE
01FA          ; Lu #       LATIN CAPITAL LETTER A WITH RING ABOVE AND ACUTE
01FC          ; Lu #       LATIN CAPITAL LETTER AE WITH ACUTE
01FE          ; Lu #       LATIN CAPITAL LETTER O WITH STROKE AND ACUTE
0200          ; Lu #       LATIN CAPITAL LETTER A WITH DOUBLE GRAVE
0202          ; Lu #       LATIN CAPITAL LETTER A WITH INVERTED BREVE
0204          ; Lu #       LATIN CAPITAL LETTER E WITH DOUBLE GRAVE
0206          ; Lu #       LATIN CAPITAL LETTER E WITH INVERTED BREVE
0208          ; Lu #       LATIN CAPITAL LETTER I WITH DOUBLE GRAVE
020A          ; Lu #       LATIN CAPITAL LETTER I WITH INVERTED BREVE
020C          ; Lu #       LATIN CAPITAL LETTER O WITH DOUBLE GRAVE
020E          ; Lu #       LATIN CAPITAL LETTER O WITH INVERTED BREVE
0210          ; Lu #       LATIN CAPITAL LETTER R WITH DOUBLE GRAVE
0212          ; Lu #       LATIN CAPITAL LETTER R WITH INVERTED BREVE
0214          ; Lu #       LATIN CAPITAL LETTER U WITH DOUBLE GRAVE
0216          ; Lu #       LATIN CAPITAL LETTER U WITH INVERTED BREVE
0218          ; Lu #       LATIN CAPITAL LETTER S WITH COMMA BELOW
021A          ; Lu #       LATIN CAPITAL LETTER T WITH COMMA BELOW
021C          ; Lu #       LATIN CAPITAL LETTER YOGH
021E          ; Lu #       LATIN CAPITAL LETTER H WITH CARON
0220          ; Lu #       LATIN CAPITAL LETTER N WITH LONG RIGHT LEG
0222          ; Lu #       LATIN CAPITAL LETTER OU
0224          ; Lu #       LATIN CAPITAL LETTER Z WITH HOOK
0226          ; Lu #       LATIN CAPITAL LETTER A WITH DOT ABOVE
0228          ; Lu #       LATIN CAPITAL LETTER E WITH CEDILLA
022A          ; Lu #       LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON
022C          ; Lu #       LATIN CAPITAL LETTER O WITH TILDE AND MACRON
022E          ; Lu #       LATIN CAPITAL LETTER O WITH DOT ABOVE
0230          ; Lu #       LATIN CAPITAL LETTER O WITH DOT ABOVE AND MACRON
0232          ; Lu #       LATIN CAPITAL LETTER Y WITH MACRON
0386          ; Lu #       GREEK CAPITAL LETTER ALPHA WITH TONOS
0388..038A    ; Lu #   [3] GREEK CAPITAL LETTER EPSILON WITH TONOS..GREEK CAPITAL LETTER IOTA WITH TONOS
038C          ; Lu #       GREEK CAPITAL LETTER OMICRON WITH TONOS
038E..038F    ; Lu #   [2] GREEK CAPITAL LETTER UPSILON WITH TONOS..GREEK CAPITAL LETTER OMEGA WITH TONOS
0391..03A1    ; Lu #  [17] GREEK CAPITAL LETTER ALPHA..GREEK CAPITAL LETTER RHO
03A3..03AB    ; Lu #   [9] GREEK CAPITAL LETTER SIGMA..GREEK CAPITAL LETTER UPSILON WITH DIALYTIKA
03D2..03D4    ; Lu #   [3] GREEK UPSILON WITH HOOK SYMBOL..GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
03D8          ; Lu #       GREEK LETTER ARCHAIC KOPPA
03DA          ; Lu #       GREEK LETTER STIGMA
03DC          ; Lu #       GREEK LETTER DIGAMMA
03DE          ; Lu #       GREEK LETTER KOPPA
03E0          ; Lu #       GREEK LETTER SAMPI
03E2          ; Lu #       COPTIC CAPITAL LETTER SHEI
03E4          ; Lu #       COPTIC CAPITAL LETTER FEI
03E6          ; Lu #       COPTIC CAPITAL LETTER KHEI
03E8          ; Lu #       COPTIC CAPITAL LETTER HORI
03EA          ; Lu #       COPTIC CAPITAL LETTER GANGIA
03EC          ; Lu #       COPTIC CAPITAL LETTER SHIMA
03EE          ; Lu #       COPTIC CAPITAL LETTER DEI
03F4          ; Lu #       GREEK CAPITAL THETA SYMBOL
0400..042F    ; Lu #  [48] CYRILLIC CAPITAL LETTER IE WITH GRAVE..CYRILLIC CAPITAL LETTER YA
0460          ; Lu #       CYRILLIC CAPITAL LETTER OMEGA
0462          ; Lu #       CYRILLIC CAPITAL LETTER YAT
0464          ; Lu #       CYRILLIC CAPITAL LETTER IOTIFIED E
0466          ; Lu #       CYRILLIC CAPITAL LETTER LITTLE YUS
0468          ; Lu #       CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
046A          ; Lu #       CYRILLIC CAPITAL LETTER BIG YUS
046C          ; Lu #       CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
